42.39	-188.40	2.46	
231.90	327.73	2.35	
260.47	-250.76	2.94	
-168.35	92.99	5.07	
-109.27	163.75	5.44	
199.06	-228.37	2.45	
96.72	19.62	5.45	
-234.99	211.08	3.32	
-129.02	4.30	4.44	
313.16	-135.34	3.39	
43.42	4.57	5.01	
47.31	80.79	3.44	
276.06	132.71	5.06	
-151.95	234.95	2.99	
12.42	-218.40	4.11	
-317.33	-272.83	5.29	
247.26	-260.09	3.65	
126.23	282.61	2.03	
8.21	260.83	3.98	
-169.91	196.13	3.74	
-229.62	-250.58	4.32	
-238.21	229.71	4.98	
-255.44	-64.35	4.20	
263.28	-317.34	2.17	
-236.32	-75.30	5.19	
-309.09	30.06	3.96	
-260.95	323.02	2.60	
325.33	-106.91	2.96	
-330.78	-206.90	4.14	
-122.33	-255.17	5.42	
